VehicleId,CrashId,VehicleLicenseState,VehicleLicenseYear,VehicleYear,VehicleMake,VehicleModel,VehicleColorCd1,VehiclecolorCd2,VehicleUsageTypeCd,NumberOfOccupants,VehicleBodyTypeCd,VehicleBusTypeCd,MCATVNumberOfWheels,OtherVehicleTypeCd,CVECargoBodyTypeCd,VehiclePullingOtherUnitCd,GCVWRatingCd,VehiclePublicConveyanceInd,EmergencyVehicleInvolvedInd,EmergencyVehicleOnRunInd,NoVehicleDamageQualCntl,InitialVehicleDamage,InitialImpactNA,InterstateCarrierInd,HazardousMaterialPresent,HazardousMaterialInvolved,PlacardDisplayed,HazmatClass,HazmatPlacardDiaNumber,HazardousMaterialReleased,DriverPresenceCd,OwnerDriverInd,OperatorLicenseState,OperatorLicenseType,DriverLicenseClass,MotorcycleQualified,OperatorLicenseStatus,InsuredDriverVehicleInd,InsuranceInd,InsuranceExpired,PreCrashTravelDirection,TrafficCondition,TrafficCntlMalfunctionInd,WorkZoneInd,WorkerPresentInd,TrafficCntlElectricalSignal,PedalcycleToFromSchoolInd,TowedFromScene,TowedBecauseDisabled,InitialImpactInd,AnimalCd1,AnimalCd2,AnimalCd3,AnimalCd4,VehicleActionCd1,VehicleActionCd2,VehicleActionCd3,VehicleActionCd4,VehicleActionCd5,VehicleActionCd6,VehicleActionCd7,VehicleActionCd8,VehicleActionCd9,VehicleActionCd10,VehicleActionCd11,VehicleActionCd12,VehicleActionCd13,VehicleActionCd14,VehicleActionCd15,TrafficControlOtherCd1,TrafficControlOtherCd2,TrafficControlOtherCd3,TrafficControlOtherCd4,TrafficControlOtherCd5,TrafficControlOtherCd6,TrafficControlOtherCd7,TrafficControlOtherCd8,TrafficControlOtherCd9,TrafficControlOtherCd10,DamageCd1,DamageCd2,DamageCd3,DamageCd4,DamageCd5,DamageCd6,DamageCd7,DamageCd8,DamageCd9,DamageCd10,DamageCd11,DamageCd12,DamageCd13,DamageCd14,DamageCd15,DamageCd16,DamageCd17,DamageCd18,DamageCd19,DamageCd20,DamageCd21,DamageCd22,DamageCd23,DamageCd24,DamageCd25,FixedObjectCd1,FixedObjectCd2,FixedObjectCd3,FixedObjectCd4,FixedObjectCd5,FixedObjectCd6,FixedObjectCd7,FixedObjectCd8,VisionObstructedCd1,VisionObstructedCd2,VisionObstructedCd3,VisionObstructedCd4,VisionObstructedCd5
0150010283V1,0150010283,MO,2016,2008,SUBA,,CHA,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,3,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,NA,N,NA,12,NA,Y,Y,,,,,,1,17,7,36,19,22,24,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,12,,,,
0150014583V1,0150014583,MO,2016,2000,PONT,,UNK,NA,1,2,1,N,NA,NA,NA,N,NA,N,NA,,N,1,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,N,N,,,,,,1,8,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014583V2,0150014583,MO,2015,2012,HYUN,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,N,N,,,,,,1,8,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150014584V1,0150014584,MO,2016,2006,CHEV,,UNK,NA,1,2,19,N,NA,NA,NA,N,L,N,NA,,N,6,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,N,NA,NA,N,NA,12,NA,N,N,,,,,,1,3,35,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150016787V2,0150016787,MO,2015,2013,CHEV,,SIL,NA,1,1,3,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,S,NA,N,N,NA,13,NA,N,N,,,,,,12,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020272V2,0150020272,MO,2015,1992,DODG,,UNK,NA,1,2,1,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,Y,MO,1,F,NA,1,NA,Y,V,E,NA,N,N,NA,13,NA,N,N,,,,,,1,5,34,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,
0150020782V1,0150020782,NY,2016,1999,TOYT,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,3,N,NA,NA,,NA,NA,NA,NA,1,Y,NY,1,NA,NA,1,NA,Y,V,W,NA,N,N,NA,13,NA,N,N,,,,,,1,14,7,34,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020784V1,0150020784,TX,2015,2006,TOYT,,UNK,NA,1,2,19,N,NA,NA,NA,N,L,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,1,Y,TX,1,NA,NA,1,NA,Y,V,W,NA,NA,N,NA,12,NA,N,N,,,,,,1,7,21,36,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,12,,,,
0150020789V1,0150020789,MO,2015,2008,DODG,,UNK,NA,1,2,19,N,NA,NA,NA,N,L,N,NA,,N,14,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,NR,V,S,NA,NA,N,NA,12,NA,N,N,,,,,,5,34,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
0150020792V2,0150020792,IA,2015,2007,TOYT,,UNK,NA,1,1,1,N,NA,NA,NA,N,NA,N,NA,,N,8,N,NA,NA,,NA,NA,NA,NA,1,N,MO,1,F,NA,1,NA,Y,V,W,3,NA,N,NA,12,NA,N,N,,,,,,1,8,12,34,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
